CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-520,Merced County CoC,45-54,201
2018,CA-520,Merced County CoC,55-64,220
2018,CA-520,Merced County CoC,65+,59
2018,CA-520,Merced County CoC,Under 18,20
2018,CA-521,Yolo County CoC,18-24,89
2018,CA-521,Yolo County CoC,25-34,161
2018,CA-521,Yolo County CoC,35-44,165
2018,CA-521,Yolo County CoC,45-54,120
2018,CA-521,Yolo County CoC,55-64,104
2018,CA-521,Yolo County CoC,65+,23
2018,CA-521,Yolo County CoC,Under 18,315
2018,CA-522,Humboldt County CoC,18-24,162
2018,CA-522,Humboldt County CoC,25-34,169
2018,CA-522,Humboldt County CoC,35-44,150
2018,CA-522,Humboldt County CoC,45-54,131
2018,CA-522,Humboldt County CoC,55-64,121
2018,CA-522,Humboldt County CoC,65+,42
2018,CA-522,Humboldt County CoC,Invalid,*
2018,CA-522,Humboldt County CoC,Under 18,316
2018,CA-522,Humboldt County CoC,Unknown,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,36
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,61
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,34
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,13
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Invalid,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,195
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2018,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2018,CA-524,"Yuba, Sutter Counties CoC",35-44,*
2018,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2018,CA-524,"Yuba, Sutter Counties CoC",65+,*
2018,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2018,CA-525,El Dorado County CoC,18-24,*
2018,CA-525,El Dorado County CoC,25-34,29
2018,CA-525,El Dorado County CoC,35-44,39
2018,CA-525,El Dorado County CoC,45-54,40
2018,CA-525,El Dorado County CoC,55-64,38
2018,CA-525,El Dorado County CoC,65+,18
2018,CA-525,El Dorado County CoC,Invalid,*
2018,CA-525,El Dorado County CoC,Under 18,228
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,50
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,117
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,88
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,77
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,73
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,29
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,265
2018,CA-527,Tehama County CoC,18-24,37
2018,CA-527,Tehama County CoC,25-34,69
2018,CA-527,Tehama County CoC,35-44,78
2018,CA-527,Tehama County CoC,45-54,62
2018,CA-527,Tehama County CoC,55-64,68
2018,CA-527,Tehama County CoC,65+,17
2018,CA-527,Tehama County CoC,Under 18,79
2018,CA-527,Tehama County CoC,Unknown,*
2018,CA-529,Lake County CoC,18-24,*
2018,CA-529,Lake County CoC,25-34,*
2018,CA-529,Lake County CoC,35-44,*
2018,CA-529,Lake County CoC,45-54,*
2018,CA-529,Lake County CoC,55-64,21
2018,CA-529,Lake County CoC,65+,*
2018,CA-529,Lake County CoC,Under 18,29
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,20
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,41
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,33
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,19
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,11
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,67
2018,CA-531,Nevada County CoC,18-24,59
2018,CA-531,Nevada County CoC,25-34,79
2018,CA-531,Nevada County CoC,35-44,114
2018,CA-531,Nevada County CoC,45-54,101
2018,CA-531,Nevada County CoC,55-64,107
2018,CA-531,Nevada County CoC,65+,40
2018,CA-531,Nevada County CoC,Under 18,53
2018,CA-600,Los Angeles County CoC,18-24,7524
2018,CA-600,Los Angeles County CoC,25-34,11874
2018,CA-600,Los Angeles County CoC,35-44,10436
2018,CA-600,Los Angeles County CoC,45-54,11147
2018,CA-600,Los Angeles County CoC,55-64,9850
2018,CA-600,Los Angeles County CoC,65+,3181
2018,CA-600,Los Angeles County CoC,Invalid,46
2018,CA-600,Los Angeles County CoC,Under 18,15205
2018,CA-600,Los Angeles County CoC,Unknown,3984
2018,CA-601,San Diego County CoC,18-24,968
2018,CA-601,San Diego County CoC,25-34,2277
2018,CA-601,San Diego County CoC,35-44,2243
2018,CA-601,San Diego County CoC,45-54,2621
2018,CA-601,San Diego County CoC,55-64,2790
2018,CA-601,San Diego County CoC,65+,839
2018,CA-601,San Diego County CoC,Invalid,*
2018,CA-601,San Diego County CoC,Under 18,3340
2018,CA-601,San Diego County CoC,Unknown,139
2018,CA-602,Orange County CoC,18-24,602
2018,CA-602,Orange County CoC,25-34,1556
2018,CA-602,Orange County CoC,35-44,1453
2018,CA-602,Orange County CoC,45-54,1600
2018,CA-602,Orange County CoC,55-64,1289
2018,CA-602,Orange County CoC,65+,779
2018,CA-602,Orange County CoC,Invalid,*
2018,CA-602,Orange County CoC,Under 18,2936
2018,CA-602,Orange County CoC,Unknown,1796
2018,CA-603,Santa Barbara County CoC,18-24,174
2018,CA-603,Santa Barbara County CoC,25-34,444
2018,CA-603,Santa Barbara County CoC,35-44,431
2018,CA-603,Santa Barbara County CoC,45-54,420
2018,CA-603,Santa Barbara County CoC,55-64,477
2018,CA-603,Santa Barbara County CoC,65+,200
2018,CA-603,Santa Barbara County CoC,Invalid,*
2018,CA-603,Santa Barbara County CoC,Under 18,624
2018,CA-603,Santa Barbara County CoC,Unknown,*
2018,CA-604,Kern County CoC,18-24,266
2018,CA-604,Kern County CoC,25-34,565
2018,CA-604,Kern County CoC,35-44,462
2018,CA-604,Kern County CoC,45-54,484
2018,CA-604,Kern County CoC,55-64,428
2018,CA-604,Kern County CoC,65+,117
2018,CA-604,Kern County CoC,Under 18,1062
2018,CA-606,Long Beach CoC (Los Angeles County),18-24,162
2018,CA-606,Long Beach CoC (Los Angeles County),25-34,343
2018,CA-606,Long Beach CoC (Los Angeles County),35-44,299
2018,CA-606,Long Beach CoC (Los Angeles County),45-54,416
2018,CA-606,Long Beach CoC (Los Angeles County),55-64,492
2018,CA-606,Long Beach CoC (Los Angeles County),65+,182
2018,CA-606,Long Beach CoC (Los Angeles County),Under 18,675
2018,CA-607,Pasadena CoC (Los Angeles County),18-24,109
2018,CA-607,Pasadena CoC (Los Angeles County),25-34,223
2018,CA-607,Pasadena CoC (Los Angeles County),35-44,206
2018,CA-607,Pasadena CoC (Los Angeles County),45-54,272
2018,CA-607,Pasadena CoC (Los Angeles County),55-64,257
2018,CA-607,Pasadena CoC (Los Angeles County),65+,142
2018,CA-607,Pasadena CoC (Los Angeles County),Under 18,364
2018,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
2018,CA-608,Riverside County CoC,18-24,683
2018,CA-608,Riverside County CoC,25-34,1231
2018,CA-608,Riverside County CoC,35-44,1102
2018,CA-608,Riverside County CoC,45-54,1137
2018,CA-608,Riverside County CoC,55-64,1005
2018,CA-608,Riverside County CoC,65+,300
2018,CA-608,Riverside County CoC,Under 18,1652
2018,CA-608,Riverside County CoC,Unknown,47
2018,CA-609,San Bernardino County CoC,18-24,554
2018,CA-609,San Bernardino County CoC,25-34,1018
2018,CA-609,San Bernardino County CoC,35-44,894
2018,CA-609,San Bernardino County CoC,45-54,663
2018,CA-609,San Bernardino County CoC,55-64,550
2018,CA-609,San Bernardino County CoC,65+,162
2018,CA-609,San Bernardino County CoC,Under 18,3544
2018,CA-609,San Bernardino County CoC,Unknown,*
2018,CA-611,Ventura County CoC,18-24,145
2018,CA-611,Ventura County CoC,25-34,225
2018,CA-611,Ventura County CoC,35-44,285
2018,CA-611,Ventura County CoC,45-54,288
2018,CA-611,Ventura County CoC,55-64,282
2018,CA-611,Ventura County CoC,65+,99
2018,CA-611,Ventura County CoC,Invalid,*
2018,CA-611,Ventura County CoC,Under 18,618
2018,CA-611,Ventura County CoC,Unknown,*
2018,CA-612,Glendale CoC (Los Angeles County),18-24,30
2018,CA-612,Glendale CoC (Los Angeles County),25-34,80
2018,CA-612,Glendale CoC (Los Angeles County),35-44,60
2018,CA-612,Glendale CoC (Los Angeles County),45-54,92
2018,CA-612,Glendale CoC (Los Angeles County),55-64,65
2018,CA-612,Glendale CoC (Los Angeles County),65+,26
2018,CA-612,Glendale CoC (Los Angeles County),Under 18,148
2018,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2018,CA-613,Imperial County CoC,18-24,80
2018,CA-613,Imperial County CoC,25-34,142
2018,CA-613,Imperial County CoC,35-44,108
2018,CA-613,Imperial County CoC,45-54,97
2018,CA-613,Imperial County CoC,55-64,72
2018,CA-613,Imperial County CoC,65+,46
2018,CA-613,Imperial County CoC,Invalid,*
2018,CA-613,Imperial County CoC,Under 18,314
2018,CA-614,San Luis Obispo County CoC,18-24,142
2018,CA-614,San Luis Obispo County CoC,25-34,319
2018,CA-614,San Luis Obispo County CoC,35-44,248
2018,CA-614,San Luis Obispo County CoC,45-54,240
2018,CA-614,San Luis Obispo County CoC,55-64,215
2018,CA-614,San Luis Obispo County CoC,65+,101
2018,CA-614,San Luis Obispo County CoC,Under 18,566
2019,All,California,18-24,19879
2019,All,California,25-34,37553
2019,All,California,35-44,34724
2019,All,California,45-54,33298
2019,All,California,55-64,31500
2019,All,California,65+,11428
2019,All,California,Invalid,88
2019,All,California,Under 18,59280
2019,All,California,Unknown,6860
2019,CA-500,Santa Clara County CoC,18-24,784
2019,CA-500,Santa Clara County CoC,25-34,1683
2019,CA-500,Santa Clara County CoC,35-44,1685
2019,CA-500,Santa Clara County CoC,45-54,1630
2019,CA-500,Santa Clara County CoC,55-64,1661
2019,CA-500,Santa Clara County CoC,65+,615
2019,CA-500,Santa Clara County CoC,Under 18,2564
2019,CA-500,Santa Clara County CoC,Unknown,*
2019,CA-501,San Francisco CoC,18-24,966
2019,CA-501,San Francisco CoC,25-34,1225
2019,CA-501,San Francisco CoC,35-44,1123
2019,CA-501,San Francisco CoC,45-54,991
2019,CA-501,San Francisco CoC,55-64,843
2019,CA-501,San Francisco CoC,65+,337
2019,CA-501,San Francisco CoC,Invalid,*
2019,CA-501,San Francisco CoC,Under 18,2516
2019,CA-501,San Francisco CoC,Unknown,31
2019,CA-502,Alameda County CoC,18-24,816
2019,CA-502,Alameda County CoC,25-34,1157
2019,CA-502,Alameda County CoC,35-44,1047
2019,CA-502,Alameda County CoC,45-54,1102
2019,CA-502,Alameda County CoC,55-64,1200
2019,CA-502,Alameda County CoC,65+,483
2019,CA-502,Alameda County CoC,Under 18,1652
2019,CA-502,Alameda County CoC,Unknown,*
2019,CA-503,Sacramento County CoC,18-24,1151
2019,CA-503,Sacramento County CoC,25-34,1519
2019,CA-503,Sacramento County CoC,35-44,1510
2019,CA-503,Sacramento County CoC,45-54,1574
2019,CA-503,Sacramento County CoC,55-64,1366
2019,CA-503,Sacramento County CoC,65+,418
2019,CA-503,Sacramento County CoC,Invalid,*
2019,CA-503,Sacramento County CoC,Under 18,3936
2019,CA-503,Sacramento County CoC,Unknown,*
2019,CA-504,Sonoma County CoC,18-24,256
2019,CA-504,Sonoma County CoC,25-34,457
2019,CA-504,Sonoma County CoC,35-44,513
2019,CA-504,Sonoma County CoC,45-54,531
2019,CA-504,Sonoma County CoC,55-64,527
2019,CA-504,Sonoma County CoC,65+,236
2019,CA-504,Sonoma County CoC,Invalid,*
2019,CA-504,Sonoma County CoC,Under 18,722
2019,CA-505,Contra Costa County CoC,18-24,487
2019,CA-505,Contra Costa County CoC,25-34,1296
2019,CA-505,Contra Costa County CoC,35-44,1196
2019,CA-505,Contra Costa County CoC,45-54,1122
2019,CA-505,Contra Costa County CoC,55-64,1131
2019,CA-505,Contra Costa County CoC,65+,419
2019,CA-505,Contra Costa County CoC,Under 18,1252
2019,CA-505,Contra Costa County CoC,Unknown,*
2019,CA-506,"Monterey, San Benito Counties CoC",18-24,164
2019,CA-506,"Monterey, San Benito Counties CoC",25-34,366
2019,CA-506,"Monterey, San Benito Counties CoC",35-44,321
2019,CA-506,"Monterey, San Benito Counties CoC",45-54,287
2019,CA-506,"Monterey, San Benito Counties CoC",55-64,321
2019,CA-506,"Monterey, San Benito Counties CoC",65+,133
2019,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2019,CA-506,"Monterey, San Benito Counties CoC",Under 18,932
2019,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2019,CA-507,Marin County CoC,18-24,76
2019,CA-507,Marin County CoC,25-34,196
2019,CA-507,Marin County CoC,35-44,188
2019,CA-507,Marin County CoC,45-54,191
2019,CA-507,Marin County CoC,55-64,189
2019,CA-507,Marin County CoC,65+,109
2019,CA-507,Marin County CoC,Under 18,325
2019,CA-507,Marin County CoC,Unknown,*
2019,CA-508,Santa Cruz County CoC,18-24,121
2019,CA-508,Santa Cruz County CoC,25-34,359
2019,CA-508,Santa Cruz County CoC,35-44,369
2019,CA-508,Santa Cruz County CoC,45-54,356
2019,CA-508,Santa Cruz County CoC,55-64,332
2019,CA-508,Santa Cruz County CoC,65+,173
2019,CA-508,Santa Cruz County CoC,Under 18,509
2019,CA-508,Santa Cruz County CoC,Unknown,45
2019,CA-509,Mendocino County CoC,18-24,63
2019,CA-509,Mendocino County CoC,25-34,143
2019,CA-509,Mendocino County CoC,35-44,137
2019,CA-509,Mendocino County CoC,45-54,126
2019,CA-509,Mendocino County CoC,55-64,123
2019,CA-509,Mendocino County CoC,65+,39
2019,CA-509,Mendocino County CoC,Under 18,165
2019,CA-509,Mendocino County CoC,Unknown,12
2019,CA-510,Stanislaus County CoC,18-24,549
2019,CA-510,Stanislaus County CoC,25-34,999
2019,CA-510,Stanislaus County CoC,35-44,1003
2019,CA-510,Stanislaus County CoC,45-54,779
2019,CA-510,Stanislaus County CoC,55-64,657
2019,CA-510,Stanislaus County CoC,65+,193
2019,CA-510,Stanislaus County CoC,Under 18,2011
2019,CA-511,San Joaquin County CoC,18-24,773
2019,CA-511,San Joaquin County CoC,25-34,1588
2019,CA-511,San Joaquin County CoC,35-44,1267
2019,CA-511,San Joaquin County CoC,45-54,927
2019,CA-511,San Joaquin County CoC,55-64,678
2019,CA-511,San Joaquin County CoC,65+,255
2019,CA-511,San Joaquin County CoC,Under 18,3968
2019,CA-511,San Joaquin County CoC,Unknown,*
2019,CA-512,San Mateo County CoC,18-24,262
2019,CA-512,San Mateo County CoC,25-34,616
2019,CA-512,San Mateo County CoC,35-44,529
2019,CA-512,San Mateo County CoC,45-54,544
2019,CA-512,San Mateo County CoC,55-64,522
2019,CA-512,San Mateo County CoC,65+,216
2019,CA-512,San Mateo County CoC,Invalid,*
2019,CA-512,San Mateo County CoC,Under 18,1204
2019,CA-512,San Mateo County CoC,Unknown,*
2019,CA-513,"Kings, Tulare Counties CoC",18-24,325
2019,CA-513,"Kings, Tulare Counties CoC",25-34,637
2019,CA-513,"Kings, Tulare Counties CoC",35-44,617
2019,CA-513,"Kings, Tulare Counties CoC",45-54,429
2019,CA-513,"Kings, Tulare Counties CoC",55-64,284
2019,CA-513,"Kings, Tulare Counties CoC",65+,88
2019,CA-513,"Kings, Tulare Counties CoC",Under 18,1067
2019,CA-514,"Fresno, Madera Counties CoC",18-24,316
2019,CA-514,"Fresno, Madera Counties CoC",25-34,378
2019,CA-514,"Fresno, Madera Counties CoC",35-44,433
2019,CA-514,"Fresno, Madera Counties CoC",45-54,447
2019,CA-514,"Fresno, Madera Counties CoC",55-64,464
2019,CA-514,"Fresno, Madera Counties CoC",65+,145
2019,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2019,CA-514,"Fresno, Madera Counties CoC",Under 18,1038
2019,CA-514,"Fresno, Madera Counties CoC",Unknown,24
2019,CA-515,Placer County CoC,18-24,101
2019,CA-515,Placer County CoC,25-34,302
2019,CA-515,Placer County CoC,35-44,279
2019,CA-515,Placer County CoC,45-54,288
2019,CA-515,Placer County CoC,55-64,233
2019,CA-515,Placer County CoC,65+,90
2019,CA-515,Placer County CoC,Under 18,464
2019,CA-515,Placer County CoC,Unknown,*
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,48
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,139
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,113
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,93
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,111
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,46
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,168
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,163
2019,CA-517,Napa County CoC,18-24,56
2019,CA-517,Napa County CoC,25-34,176
2019,CA-517,Napa County CoC,35-44,159
2019,CA-517,Napa County CoC,45-54,170
2019,CA-517,Napa County CoC,55-64,174
2019,CA-517,Napa County CoC,65+,56
2019,CA-517,Napa County CoC,Under 18,141
2019,CA-518,Solano County CoC,18-24,67
2019,CA-518,Solano County CoC,25-34,191
2019,CA-518,Solano County CoC,35-44,189
2019,CA-518,Solano County CoC,45-54,179
2019,CA-518,Solano County CoC,55-64,206
2019,CA-518,Solano County CoC,65+,79
2019,CA-518,Solano County CoC,Invalid,*
2019,CA-518,Solano County CoC,Under 18,272
2019,CA-518,Solano County CoC,Unknown,*
2019,CA-519,Butte County CoC,18-24,125
2019,CA-519,Butte County CoC,25-34,292
2019,CA-519,Butte County CoC,35-44,284
2019,CA-519,Butte County CoC,45-54,287
2019,CA-519,Butte County CoC,55-64,296
2019,CA-519,Butte County CoC,65+,145
2019,CA-519,Butte County CoC,Under 18,319
2019,CA-520,Merced County CoC,18-24,278
2019,CA-520,Merced County CoC,25-34,511
2019,CA-520,Merced County CoC,35-44,454
2019,CA-520,Merced County CoC,45-54,304
2019,CA-520,Merced County CoC,55-64,266
2019,CA-520,Merced County CoC,65+,73
2019,CA-520,Merced County CoC,Invalid,*
2019,CA-520,Merced County CoC,Under 18,1195
2019,CA-521,Yolo County CoC,18-24,97
2019,CA-521,Yolo County CoC,25-34,192
2019,CA-521,Yolo County CoC,35-44,201
2019,CA-521,Yolo County CoC,45-54,115
2019,CA-521,Yolo County CoC,55-64,125
2019,CA-521,Yolo County CoC,65+,47
2019,CA-521,Yolo County CoC,Under 18,434
2019,CA-521,Yolo County CoC,Unknown,*
2019,CA-522,Humboldt County CoC,18-24,209
2019,CA-522,Humboldt County CoC,25-34,233
2019,CA-522,Humboldt County CoC,35-44,260
2019,CA-522,Humboldt County CoC,45-54,253
2019,CA-522,Humboldt County CoC,55-64,225
2019,CA-522,Humboldt County CoC,65+,85
2019,CA-522,Humboldt County CoC,Invalid,*
2019,CA-522,Humboldt County CoC,Under 18,346
2019,CA-522,Humboldt County CoC,Unknown,34
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,41
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,64
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,34
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,19
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,15
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",65+,*
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Invalid,*
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,199
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2019,CA-524,"Yuba, Sutter Counties CoC",18-24,*
2019,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2019,CA-524,"Yuba, Sutter Counties CoC",35-44,*
2019,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2019,CA-524,"Yuba, Sutter Counties CoC",55-64,*
2019,CA-524,"Yuba, Sutter Counties CoC",65+,*
2019,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2019,CA-525,El Dorado County CoC,18-24,15
2019,CA-525,El Dorado County CoC,25-34,39
2019,CA-525,El Dorado County CoC,35-44,35
2019,CA-525,El Dorado County CoC,45-54,42
2019,CA-525,El Dorado County CoC,55-64,43
2019,CA-525,El Dorado County CoC,65+,21
2019,CA-525,El Dorado County CoC,Invalid,*
2019,CA-525,El Dorado County CoC,Under 18,168
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,50
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,92
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,106
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,89
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,77
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,34
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Invalid,*
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,219
2019,CA-527,Tehama County CoC,18-24,22
2019,CA-527,Tehama County CoC,25-34,60
2019,CA-527,Tehama County CoC,35-44,69
2019,CA-527,Tehama County CoC,45-54,71
2019,CA-527,Tehama County CoC,55-64,69
2019,CA-527,Tehama County CoC,65+,22
2019,CA-527,Tehama County CoC,Invalid,*
2019,CA-527,Tehama County CoC,Under 18,57
2019,CA-527,Tehama County CoC,Unknown,*
2019,CA-529,Lake County CoC,18-24,15
2019,CA-529,Lake County CoC,25-34,43
2019,CA-529,Lake County CoC,35-44,38
2019,CA-529,Lake County CoC,45-54,12
2019,CA-529,Lake County CoC,55-64,18
2019,CA-529,Lake County CoC,65+,*
2019,CA-529,Lake County CoC,Under 18,120
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,13
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,29
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,20
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,21
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,23
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,42
2019,CA-531,Nevada County CoC,18-24,50
2019,CA-531,Nevada County CoC,25-34,117
2019,CA-531,Nevada County CoC,35-44,115
2019,CA-531,Nevada County CoC,45-54,122
2019,CA-531,Nevada County CoC,55-64,134
2019,CA-531,Nevada County CoC,65+,51
2019,CA-531,Nevada County CoC,Invalid,*
2019,CA-531,Nevada County CoC,Under 18,30
2019,CA-531,Nevada County CoC,Unknown,*
2019,CA-600,Los Angeles County CoC,18-24,7814
2019,CA-600,Los Angeles County CoC,25-34,14207
2019,CA-600,Los Angeles County CoC,35-44,12590
2019,CA-600,Los Angeles County CoC,45-54,12304
2019,CA-600,Los Angeles County CoC,55-64,11232
2019,CA-600,Los Angeles County CoC,65+,3919
2019,CA-600,Los Angeles County CoC,Invalid,34
2019,CA-600,Los Angeles County CoC,Under 18,16417
2019,CA-600,Los Angeles County CoC,Unknown,5215
2019,CA-601,San Diego County CoC,18-24,979
2019,CA-601,San Diego County CoC,25-34,2471
2019,CA-601,San Diego County CoC,35-44,2425
2019,CA-601,San Diego County CoC,45-54,2710
2019,CA-601,San Diego County CoC,55-64,3052
2019,CA-601,San Diego County CoC,65+,1002
2019,CA-601,San Diego County CoC,Invalid,*
2019,CA-601,San Diego County CoC,Under 18,3198
2019,CA-601,San Diego County CoC,Unknown,359
2019,CA-602,Orange County CoC,18-24,661
2019,CA-602,Orange County CoC,25-34,1884
2019,CA-602,Orange County CoC,35-44,1875
2019,CA-602,Orange County CoC,45-54,1978
2019,CA-602,Orange County CoC,55-64,1791
2019,CA-602,Orange County CoC,65+,627
2019,CA-602,Orange County CoC,Invalid,*
2019,CA-602,Orange County CoC,Under 18,2821
2019,CA-602,Orange County CoC,Unknown,746
2019,CA-603,Santa Barbara County CoC,18-24,163
2019,CA-603,Santa Barbara County CoC,25-34,448
2019,CA-603,Santa Barbara County CoC,35-44,485
2019,CA-603,Santa Barbara County CoC,45-54,492
2019,CA-603,Santa Barbara County CoC,55-64,585
2019,CA-603,Santa Barbara County CoC,65+,239
2019,CA-603,Santa Barbara County CoC,Invalid,*
2019,CA-603,Santa Barbara County CoC,Under 18,513
2019,CA-603,Santa Barbara County CoC,Unknown,*
2019,CA-604,Kern County CoC,18-24,308
2019,CA-604,Kern County CoC,25-34,543
2019,CA-604,Kern County CoC,35-44,506
2019,CA-604,Kern County CoC,45-54,456
2019,CA-604,Kern County CoC,55-64,447
2019,CA-604,Kern County CoC,65+,137
2019,CA-604,Kern County CoC,Under 18,1261
2019,CA-604,Kern County CoC,Unknown,*
2019,CA-606,Long Beach CoC (Los Angeles County),18-24,200
2019,CA-606,Long Beach CoC (Los Angeles County),25-34,438
2019,CA-606,Long Beach CoC (Los Angeles County),35-44,382
2019,CA-606,Long Beach CoC (Los Angeles County),45-54,478
2019,CA-606,Long Beach CoC (Los Angeles County),55-64,579
2019,CA-606,Long Beach CoC (Los Angeles County),65+,241
2019,CA-606,Long Beach CoC (Los Angeles County),Invalid,*
2019,CA-606,Long Beach CoC (Los Angeles County),Under 18,751
2019,CA-606,Long Beach CoC (Los Angeles County),Unknown,*
2019,CA-607,Pasadena CoC (Los Angeles County),18-24,147
2019,CA-607,Pasadena CoC (Los Angeles County),25-34,197
2019,CA-607,Pasadena CoC (Los Angeles County),35-44,208
2019,CA-607,Pasadena CoC (Los Angeles County),45-54,256
2019,CA-607,Pasadena CoC (Los Angeles County),55-64,315
2019,CA-607,Pasadena CoC (Los Angeles County),65+,160
2019,CA-607,Pasadena CoC (Los Angeles County),Under 18,252
2019,CA-607,Pasadena CoC (Los Angeles County),Unknown,37
2019,CA-608,Riverside County CoC,18-24,683
2019,CA-608,Riverside County CoC,25-34,1435
2019,CA-608,Riverside County CoC,35-44,1252
2019,CA-608,Riverside County CoC,45-54,1124
2019,CA-608,Riverside County CoC,55-64,1012
2019,CA-608,Riverside County CoC,65+,385
2019,CA-608,Riverside County CoC,Invalid,*
2019,CA-608,Riverside County CoC,Under 18,2018
2019,CA-608,Riverside County CoC,Unknown,44
2019,CA-609,San Bernardino County CoC,18-24,667
2019,CA-609,San Bernardino County CoC,25-34,1160
2019,CA-609,San Bernardino County CoC,35-44,1020
2019,CA-609,San Bernardino County CoC,45-54,754
2019,CA-609,San Bernardino County CoC,55-64,659
2019,CA-609,San Bernardino County CoC,65+,203
2019,CA-609,San Bernardino County CoC,Invalid,*
2019,CA-609,San Bernardino County CoC,Under 18,3138
